batch_key,venue_id,expected_name,new_name,source_id,source_url,note
rename-michelin-2026-france,ve_3b1fb8d8f2,Les 9 Névés,Les 9 névés,michelin,https://guide.michelin.com/en/auvergne-rhone-alpes/beaufort_1509411/restaurant/les-9-neves,case only; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_3c84380295,Olive&Artichaut,Olive & Artichaut,michelin,https://guide.michelin.com/en/provence-alpes-cote-dazur/nice/restaurant/olive-et-artichaut,punctuation and spacing; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_3cb99fd3d6,Restaurant Soléna,Soléna,michelin,https://guide.michelin.com/en/nouvelle-aquitaine/bordeaux/restaurant/solena,Michelin spelling; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_3d9ae68450,Restaurant Au Pont Corbeau,Au Pont Corbeau,michelin,https://guide.michelin.com/en/grand-est/strasbourg/restaurant/au-pont-du-corbeau,Michelin spelling; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_40366c0dda,Restaurant Le Bistrot 270,Le Bistrot 270,michelin,https://guide.michelin.com/en/auvergne-rhone-alpes/malataverne/restaurant/le-bistrot-270,Michelin spelling; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_41ab1bd7bd,L'épicurieux chez Luc,L'Épicurieux chez Luc,michelin,https://guide.michelin.com/en/auvergne-rhone-alpes/curis-au-mont-d-or_1510529/restaurant/l-epicurieux-chez-luc,case only; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_42a5fc32bc,Restaurant Pollen,Pollen,michelin,https://guide.michelin.com/en/provence-alpes-cote-dazur/avignon/restaurant/pollen1000267,Michelin spelling; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_47aea93e3a,Auberge Du Vert Mont,Auberge du Vert Mont,michelin,https://guide.michelin.com/en/hauts-de-france/boeschepe/restaurant/auberge-du-vert-mont,case only; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_4813cef5a6,La Maison De Pierre,La Maison de Pierre,michelin,https://guide.michelin.com/en/nouvelle-aquitaine/hasparren/restaurant/la-maison-de-pierre,case only; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_488f806834,Dyades Au Domaine Des Etangs,Dyades au Domaine des Étangs,michelin,https://guide.michelin.com/en/nouvelle-aquitaine/massignac/restaurant/dyades-au-domaine-des-etangs,case and accents; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_48912b20f9,Restaurant David Toutain,David Toutain,michelin,https://guide.michelin.com/en/ile-de-france/paris/restaurant/david-toutain,Michelin spelling; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_48fb509454,Bistrot La Coulemelle,Bistrot la Coulemelle,michelin,https://guide.michelin.com/en/auvergne-rhone-alpes/saint-bonnet-le-froid/restaurant/bistrot-la-coulemelle,case only; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_493998ebb3,Le Kaiku,Le Kaïku,michelin,https://guide.michelin.com/en/nouvelle-aquitaine/saint-jean-de-luz/restaurant/le-kaiku,case and accents; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_4a55e63127,Restaurant La Chebaudière,La Chebaudière,michelin,https://guide.michelin.com/en/bretagne/auray/restaurant/la-chebaudiere,Michelin spelling; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_4b86bdb91b,Restaurant monsieur Robert,Monsieur Robert,michelin,https://guide.michelin.com/en/nouvelle-aquitaine/saint-robert_1472156/restaurant/monsieur-robert,Michelin spelling; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_4c2452517e,LE RAISIN,Le Raisin,michelin,https://guide.michelin.com/en/auvergne-rhone-alpes/pont-de-vaux/restaurant/le-raisin,case only; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_4d144afb56,Château d'Adomenil,Château d'Adoménil,michelin,https://guide.michelin.com/en/grand-est/lunville/restaurant/chateau-d-adomenil,case and accents; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_4d254317ea,Saint-Placide,Le Saint Placide,michelin,https://guide.michelin.com/en/bretagne/saint-malo/restaurant/le-st-placide,Michelin spelling; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_4e73948e8f,Restaurant Pré Saint Jean,Le Pré Saint Jean,michelin,https://guide.michelin.com/en/occitanie/pzenas/restaurant/le-pre-st-jean,Michelin spelling; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_4ef700d74a,Peck & co.,Peck & Co,michelin,https://guide.michelin.com/en/bretagne/brest/restaurant/peck-co,punctuation and spacing; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_503267190f,Le Bistrot du Pollet,Bistrot du Pollet,michelin,https://guide.michelin.com/en/normandie/dieppe/restaurant/bistrot-du-pollet,Michelin spelling; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_50f7dc8e41,La Table Bagésienne,La Table Bâgésienne,michelin,https://guide.michelin.com/en/auvergne-rhone-alpes/bg-le-chtel/restaurant/la-table-bagesienne,case and accents; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_5185174abe,Restaurant SaQuaNa,SaQuaNa,michelin,https://guide.michelin.com/en/normandie/honfleur/restaurant/saquana,Michelin spelling; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_53f4614426,Restaurant Une Table à Deux,Une Table à Deux,michelin,https://guide.michelin.com/en/occitanie/toulouse/restaurant/une-table-a-deux,Michelin spelling; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_540fbdb0db,Restaurant Ed.Em,Ed.Em,michelin,https://guide.michelin.com/en/bourgogne-franche-comte/chassagne-montrachet/restaurant/ed-em,Michelin spelling; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_541100d8fa,Manoir de Lan Kerellec,Manoir de Lan-Kerellec,michelin,https://guide.michelin.com/en/bretagne/trbeurden/restaurant/manoir-de-lan-kerellec,punctuation and spacing; Michelin is the only publisher that can vote
rename-michelin-2026-france,ve_54654daa96,AGAPES,Agapes,michelin,https://guide.michelin.com/en/occitanie/toulouse/restaurant/agapes,case only; Michelin is the only publisher that can vote
