batch_key,source_id,year,rank,category,distinction,source_url,venue_name,city_label,country_label,venue_category,venue_status,price_symbol_raw,note
michelin-2026-italy,michelin,2026,,Bib Gourmand,,https://guide.michelin.com/us/en/sicilia/randazzo/restaurant/veneziano,Veneziano,Randazzo,Italy,restaurant,,€€,
michelin-2026-italy,michelin,2026,,Bib Gourmand,,https://guide.michelin.com/us/en/puglia/crispiano/restaurant/la-cuccagna,La Cuccagna Giro di Vite,Crispiano,Italy,restaurant,,€€,
michelin-2026-italy,michelin,2026,,Bib Gourmand,,https://guide.michelin.com/us/en/puglia/martina-franca_1852170/restaurant/bros-trattoria,Bros' Trattoria,Martina Franca,Italy,restaurant,,€€,
michelin-2026-italy,michelin,2026,,Bib Gourmand,,https://guide.michelin.com/us/en/sicilia/linguaglossa/restaurant/in-cucina-dai-pennisi,In Cucina dai Pennisi,Linguaglossa,Italy,restaurant,,€€,
michelin-2026-italy,michelin,2026,,Bib Gourmand,,https://guide.michelin.com/us/en/puglia/ostuni/restaurant/osteria-piazzetta-cattedrale,Osteria Piazzetta Cattedrale,Ostuni,Italy,restaurant,,€€,
michelin-2026-italy,michelin,2026,,Bib Gourmand,,https://guide.michelin.com/us/en/puglia/ceglie-messapica/restaurant/cibus,Cibus,Ceglie Messapica,Italy,restaurant,,€€,
michelin-2026-italy,michelin,2026,,Bib Gourmand,,https://guide.michelin.com/us/en/puglia/san-marzano-di-san-giuseppe_1853441/restaurant/vez,Vez,San Marzano di San Giuseppe,Italy,restaurant,,€€,
michelin-2026-italy,michelin,2026,,Bib Gourmand,,https://guide.michelin.com/us/en/calabria/villa-san-giovanni/restaurant/vecchio-porto,Vecchio Porto,Villa San Giovanni,Italy,restaurant,,€,
michelin-2026-italy,michelin,2026,,Bib Gourmand,,https://guide.michelin.com/us/en/sicilia/catania/restaurant/me-cumpari-turiddu,Me Cumpari Turiddu,Catania,Italy,restaurant,,€€,
michelin-2026-italy,michelin,2026,,Bib Gourmand,,https://guide.michelin.com/us/en/calabria/bagnara-calabra/restaurant/taverna-kerkira,Taverna Kerkira,Bagnara Calabra,Italy,restaurant,,€€,
michelin-2026-italy,michelin,2026,,Bib Gourmand,,https://guide.michelin.com/us/en/sicilia/palazzolo-acreide/restaurant/andrea-sapori-montani,Andrea - Sapori Montani,Palazzolo Acreide,Italy,restaurant,,€€,
