batch_key,source_id,year,rank,category,distinction,source_url,venue_name,city_label,country_label,venue_category,venue_status,price_symbol_raw,note,michelin_guide,name_native_michelin
michelin-2026-china,michelin,2026,,Bib Gourmand,,https://guide.michelin.com/us/en/jiang-su/yangzhou_1032329/restaurant/shuang-dong,Shuang Dong,Yangzhou,China,restaurant,,¥¥,,shanghai-jiangsu-zhejiang-2026,双东酒店
michelin-2026-china,michelin,2026,,Bib Gourmand,,https://guide.michelin.com/us/en/zhe-jiang/wenzhou_1031793/restaurant/shuang-jing-tou,Shuang Jing Tou,Wenzhou,China,restaurant,,¥¥,,shanghai-jiangsu-zhejiang-2026,双井头饭店
michelin-2026-china,michelin,2026,,Bib Gourmand,,https://guide.michelin.com/us/en/jiang-su/changzhou_1025968/restaurant/south-garden,South Garden,Changzhou,China,restaurant,,¥¥,,shanghai-jiangsu-zhejiang-2026,南园
michelin-2026-china,michelin,2026,,Bib Gourmand,,https://guide.michelin.com/us/en/jiang-su/suzhou_1031079/restaurant/su-cheng-jia-yan-ligongdi-road,Su Cheng Jia Yan (Ligongdi Road),Suzhou,China,restaurant,,¥¥,,shanghai-jiangsu-zhejiang-2026,苏城家宴 (李公堤路)
michelin-2026-china,michelin,2026,,Bib Gourmand,,https://guide.michelin.com/us/en/zhe-jiang/wenzhou_1031793/restaurant/sun-guo-hua-qing-jiang-san-xian-mian-renmin-north-road,Sun Guo Hua Qing Jiang San Xian Mian (Renmin North Road),Wenzhou,China,restaurant,,¥,,shanghai-jiangsu-zhejiang-2026,孙国花清江三鲜面 (人民北路)
michelin-2026-china,michelin,2026,,Bib Gourmand,,https://guide.michelin.com/us/en/jiang-su/changzhou_1025968/restaurant/tai-hu-san-bai-guan,Tai Hu San Bai Guan,Changzhou,China,restaurant,,¥¥,,shanghai-jiangsu-zhejiang-2026,太湖三白馆
michelin-2026-china,michelin,2026,,Bib Gourmand,,https://guide.michelin.com/us/en/shanghai-municipality/shanghai/restaurant/tan-1246400,Tan,Shanghai,China,restaurant,,¥¥,,shanghai-jiangsu-zhejiang-2026,坛
michelin-2026-china,michelin,2026,,Bib Gourmand,,https://guide.michelin.com/us/en/zhe-jiang/taizhou_7770462/restaurant/tang-a-yi-bian-shi,Tang A Yi Bian Shi,Taizhou,China,restaurant,,¥,,shanghai-jiangsu-zhejiang-2026,汤阿姨扁食
michelin-2026-china,michelin,2026,,Bib Gourmand,,https://guide.michelin.com/us/en/jiang-su/suzhou_1031079/restaurant/tang-yuan,Tang Yuan,Suzhou,China,restaurant,,¥,,shanghai-jiangsu-zhejiang-2026,塘园
michelin-2026-china,michelin,2026,,Bib Gourmand,,https://guide.michelin.com/us/en/shanghai-municipality/shanghai/restaurant/the-lakeside-veggie,The Lakeside Veggie,Shanghai,China,restaurant,,¥¥,,shanghai-jiangsu-zhejiang-2026,临湖素食
michelin-2026-china,michelin,2026,,Bib Gourmand,,https://guide.michelin.com/us/en/shanghai-municipality/shanghai/restaurant/the-taste-of-huzhou,The Taste of Huzhou,Shanghai,China,restaurant,,¥,,shanghai-jiangsu-zhejiang-2026,菰城宴
michelin-2026-china,michelin,2026,,Bib Gourmand,,https://guide.michelin.com/us/en/jiang-su/suzhou_1031079/restaurant/tong-de-xing-jiayu-fang,Tong De Xing (Jiayu Fang),Suzhou,China,restaurant,,¥,,shanghai-jiangsu-zhejiang-2026,同得兴 (嘉余坊)
michelin-2026-china,michelin,2026,,Bib Gourmand,,https://guide.michelin.com/us/en/zhe-jiang/hangzhou_1027184/restaurant/tong-ma-ma-xihu,Tong Ma Ma (Xihu),Hangzhou,China,restaurant,,¥,,shanghai-jiangsu-zhejiang-2026,童妈妈 (西湖)
