place_id,action,class,keeper,instruction,source,google_name,other_rows
ChIJrW8egwN1nkcRcSAVCJYQpZY,KEEP_PIN_HOME,UNCLASSIFIED,Jan [munich],machine pass: pin-home + name test; other-row class pending,dryrun-v2,Restaurant JAN - Jan Hartwig,Restaurant JAN - Jan Hartwig [nice]
ChIJrbAVNIOMGGARXNvkApcqvng,KEEP_PIN_HOME,UNCLASSIFIED,NARISAWA [tokyo],machine pass: pin-home + name test; other-row class pending,dryrun-v2,Narisawa,Narisawa [shanghai]
ChIJsenPXmXHhUcRq-cSDrpYnZQ,KEEP_PIN_HOME,UNCLASSIFIED,Ristorante Agorà [brissago],machine pass: pin-home + name test; other-row class pending,dryrun-v2,Ristorante Agorà,Ristorante Agorà [london]
ChIJtYvu31QIYUgRLtFOFF5F6hM,KEEP_PIN_HOME,UNCLASSIFIED,OX Belfast [darmstadt],machine pass: pin-home + name test; other-row class pending,dryrun-v2,OX Belfast,OX Belfast [belfast] | OX Belfast [reykjavik] | OX Belfast [portland]
ChIJtalU4j6jkUcRIpkuqoSOizk,KEEP_PIN_HOME,UNCLASSIFIED,Traube Blansingen [efringen-kirchen],machine pass: pin-home + name test; other-row class pending,dryrun-v2,Traube Blansingen,Traube Blansingen [trimbach]
ChIJtcwJ8sRv5kcRK1e1LOEyoHg,KEEP_PIN_HOME,UNCLASSIFIED,Imperial Treasure Fine Chinese Cuisine [paris],machine pass: pin-home + name test; other-row class pending,dryrun-v2,Imperial Treasure Fine Chinese Cuisine,Imperial Treasure Fine Chinese Cuisine [shanghai]
ChIJtfNz9ns5AWAR8Xdoj-x6poE,KEEP_PIN_HOME,UNCLASSIFIED,Nara Prison Museum by Hoshino Resorts [nara],machine pass: pin-home + name test; other-row class pending,dryrun-v2,Nara Prison Museum by Hoshino Resorts,Nara Prison Museum by Hoshino Resorts [tokyo]
ChIJtzlJgy8FdkgRe0mah9wlo_0,KEEP_PIN_HOME,UNCLASSIFIED,Nobu London (Old Park Lane) [london],machine pass: pin-home + name test; other-row class pending,dryrun-v2,Nobu London (Old Park Lane),Nobu London (Old Park Lane) [new-york]
ChIJuWUH2Cmr8TUR1xWeZhHH2xA,KEEP_PIN_HOME,UNCLASSIFIED,Dadong Roast Duck Restaurant [beijing],machine pass: pin-home + name test; other-row class pending,dryrun-v2,Dadong Roast Duck Restaurant,Dadong Roast Duck Restaurant [shanghai]
ChIJufG0J2VTBQ0RsWJhdz2Gqmc,KEEP_PIN_HOME,UNCLASSIFIED,Restaurante Alameda [faro],machine pass: pin-home + name test; other-row class pending,dryrun-v2,Restaurante Alameda,Restaurante Alameda [hondarribia]
ChIJw0cwDkShXogR4zPmun7hlro,KEEP,MERGE,the-barn [walland],knoxville row merges; slug non-canonical; matcher bug class: adjacent rural postal,verified-pass-2026-08-24,The Barn,The Barn [knoxville-tennessee] | The Barn [walland]
ChIJw43KgEy5t4kRarwZlIG4yg0,KEEP_PIN_HOME,UNCLASSIFIED,Elcielo Restaurant Washington D.C. [washington-dc],machine pass: pin-home + name test; other-row class pending,dryrun-v2,Elcielo Restaurant Washington D.C.,Elcielo Restaurant Washington D.C. [bogota]
ChIJw87e4dkukUcRX1CYzxaUu_0,KEEP_PIN_HOME,UNCLASSIFIED,Hotel-Restaurant Adler - Daniel Otto Fehrenbacher [lahr],machine pass: pin-home + name test; other-row class pending,dryrun-v2,Hotel-Restaurant Adler - Daniel Otto Fehrenbacher,Hotel-Restaurant Adler - Daniel Otto Fehrenbacher [ried-muotathal]
ChIJwVykxpIABDQR1MZ-gH1ykQk,KEEP_PIN_HOME,UNCLASSIFIED,Joël Robuchon [hong-kong],machine pass: pin-home + name test; other-row class pending,dryrun-v2,Joël Robuchon,Joël Robuchon [taipei] | Joël Robuchon [paris]
ChIJweMOgwxZwokRm_BlZ1YAiZc,KEEP_PIN_HOME,UNCLASSIFIED,Hutong New York [new-york],machine pass: pin-home + name test; other-row class pending,dryrun-v2,Hutong New York,Hutong New York [london]
ChIJx7NewtO0woARCEk05DbH2tA,KEEP_PIN_HOME,UNCLASSIFIED,Inaba Japanese Restaurant [torrence],machine pass: pin-home + name test; other-row class pending,dryrun-v2,Inaba Japanese Restaurant,Inaba Japanese Restaurant [torrance] | Inaba Japanese Restaurant [honolulu]
ChIJx8MSQzxZwokRbNE3X96B84s,KEEP,TWIN,seed-library [new-york],"london own venue (the original), own id",verified-pass-2026-08-24,Seed Library NYC,Seed Library NYC [new-york] | Seed Library NYC [london]
ChIJxaAzu4EoQg0RtvLumbkqOe4,KEEP_PIN_HOME,UNCLASSIFIED,Salmon Guru - A CONTRACORRIENTE [madrid],machine pass: pin-home + name test; other-row class pending,dryrun-v2,Salmon Guru - A CONTRACORRIENTE,Salmon Guru - A CONTRACORRIENTE [dubai] | Salmon Guru - A CONTRACORRIENTE [milan]
ChIJxeTXptJ01kgR4Dcvo45O5Cs,KEEP_PIN_HOME,UNCLASSIFIED,Dill Restaurant [lewes],machine pass: pin-home + name test; other-row class pending,dryrun-v2,Dill Restaurant,Dill Restaurant [reykjavik]
ChIJxxa_ELAPdkgRF2wx7RLroiY,KEEP_PIN_HOME,UNCLASSIFIED,The River Café [london],machine pass: pin-home + name test; other-row class pending,dryrun-v2,The River Café,The River Café [new-york] | The River Café [calgary]
ChIJy-7vSn9T80cRtk5EsO_WC3Q,KEEP_PIN_HOME,UNCLASSIFIED,Agave Restaurante [bourg-en-bresse],machine pass: pin-home + name test; other-row class pending,dryrun-v2,Agave Restaurante,Agave Restaurante [ubon-ratchathani]
ChIJyZd6oCcFdkgR8CXAKet9630,KEEP_PIN_HOME,UNCLASSIFIED,Aulis London [london],machine pass: pin-home + name test; other-row class pending,dryrun-v2,Aulis London,Aulis London [phang-nga]
ChIJz-WME0VDXz4RN7Fy4RxO3sA,KEEP_PIN_HOME,UNCLASSIFIED,Sexy Fish [dubai],machine pass: pin-home + name test; other-row class pending,dryrun-v2,Sexy Fish Dubai,Sexy Fish Dubai [london] | Sexy Fish Dubai [manchester] | Sexy Fish Dubai [miami]
ChIJz-m4m6tXhUcRr8buG169t1k,KEEP_PIN_HOME,UNCLASSIFIED,Restaurant Focus Atelier [vitznau],machine pass: pin-home + name test; other-row class pending,dryrun-v2,Restaurant Focus Atelier,Restaurant Focus Atelier [canterbury]
ChIJz2Whyx61RIYR7mCeZje-QWw,KEEP_PIN_HOME,UNCLASSIFIED,Uchi Austin [austin],machine pass: pin-home + name test; other-row class pending,dryrun-v2,Uchi Austin,Uchi Austin [miami]
ChIJzX5hJ-pCkUcRgzO2hBUErIU,KEEP_PIN_HOME,UNCLASSIFIED,Auberge de l'Ill [illhaeusern],machine pass: pin-home + name test; other-row class pending,dryrun-v2,Auberge de l'Ill,Auberge de l'Ill [alsace] | Auberge de l'Ill [sapporo]
ChIJzYVfPY4IAWAR9YmMkv5T9Rk,KEEP_PIN_HOME,UNCLASSIFIED,Isshisouden Nakamura [kyoto],machine pass: pin-home + name test; other-row class pending,dryrun-v2,Isshisouden Nakamura,Isshisouden Nakamura [tokyo]
